text;predicted_rf
61 Safeways show  CovidVaccine slots in CA  1100 El Camino Real  Belmont 1520 Brundage Lane  Bakersfield 2555 Harris Street  Eureka 2720 41st Avenue  Soquel 475 M Street  Crescent City 570 Shoreline Blvd  Mountain View 927 S  China Lake Blvd   Ridgecrest;0
63 Safeways show  CovidVaccine slots in CA  1100 El Camino Real  Belmont 1655 El Camino Real  San Mateo 179 Branham Lane  San Jose 2555 Harris Street  Eureka 2720 41st Avenue  Soquel 475 M Street  Crescent City 570 Shoreline Blvd  Mountain View;0
90 CVS locations show  CovidVaccine slots in CA  Adelanto Angels Camp Arcadia Arroyo Grande Atwater Auburn Azusa Bakersfield Bell Brentwood Buellton Carson Chula Vista City Of Industry Clovis Coachella Compton Corona Dixon Downey El Cajon Eureka Fontana Fresno;0
23 CVS locations show  CovidVaccine slots in CA  Arroyo Grande Buellton Clovis Coachella Fresno Gridley Hanford Hemet Indio Kingsburg La Quinta Lancaster Lompoc Menifee Merced Palm Desert Porterville Red Bluff Redding Santa Maria Temecula Tulare Visalia;0
255 Rite Aids show  CovidVaccine slots in CA  Azusa Banning Beaumont Blythe Bonita Brawley Cathedral City Coachella Corona Desert Hot Springs Fallbrook Fresno Indio Los Angeles Ontario Rancho Cucamonga Roseville San Diego San Pedro Santa Rosa Temecula;0
300 Rite Aids show  CovidVaccine slots in CA  Agoura Hills Altadena Azusa Chino Chino Hills Cypress Fresno La Crescenta Long Beach Los Angeles Lynwood North Hollywood Rolling Hills Ests Roseville San Pedro Santa Rosa Temecula Thousand Oaks West Hollywood;0
33 CVS locations show  CovidVaccine slots in CA  Adelanto Arroyo Grande Atwater Bakersfield Buellton Clovis Coachella Fontana Fresno Gridley Half Moon Bay Hanford Hemet Indio Kingsburg La Quinta Lancaster Marysville Menifee Merced Montclair Mount Shasta Murrieta;0
59 Safeways show  CovidVaccine slots in CA  13045 Rosedale Hwy  Bakersfield 1520 Brundage Lane  Bakersfield 2555 Harris Street  Eureka 2720 41st Avenue  Soquel 2980 E Capitol Expwy  San Jose 475 M Street  Crescent City 927 S  China Lake Blvd   Ridgecrest;0
22 Safeways show  CovidVaccine slots in CA  1235 Stratford Ave  Dixon 13045 Rosedale Hwy  Bakersfield 1520 Brundage Lane  Bakersfield 2720 41st Avenue  Soquel 3320 Arden Way  Sacramento 37264 Main St  Burney 9831 Campo Road  Spring Valley;0
14 Safeways show  CovidVaccine slots in CA  13045 Rosedale Hwy  Bakersfield 133 West Route 66  Glendora 1520 Brundage Lane  Bakersfield 160 First Street  Los Altos 37264 Main St  Burney 43543 20th Street West  Lancaster 6045 Coffee Rd  Bakersfield;0
187 Rite Aids show  CovidVaccine slots in CA  Azusa Bellflower Canyon Country Downey Fresno Hollywood Lakewood Long Beach Los Angeles Lynwood Pacoima Paramount San Fernando San Pedro Santa Clarita Southgate Sunland Sylmar Temecula West Hollywood Wilmington;0
63 Safeways show  CovidVaccine slots in CA  1520 Brundage Lane  Bakersfield 18579 Brookhurst St   Fountain Valley 2555 Harris Street  Eureka 2720 41st Avenue  Soquel 2980 E Capitol Expwy  San Jose 475 M Street  Crescent City 927 S  China Lake Blvd   Ridgecrest;0
84 CVS locations show  CovidVaccine slots in CA  Adelanto Angels Camp Arcadia Arleta Arroyo Grande Atwater Auburn Azusa Bakersfield Bell Brentwood Buellton Carson City Of Industry Clovis Coachella Compton Corona Dixon Downey Eureka Fontana Fresno Gridley Hanford;0
413 Rite Aids show  CovidVaccine slots in CA  Anaheim Bell Gardens Buena Park Culver City Cypress Downey El Segundo Fresno Hollywood La Habra Los Angeles Lynwood Roseville Santa Monica Santa Rosa Southgate Temecula Torrance West Hollywood Whittier;0
2 CVS locations show  CovidVaccine slots in MD  Dunkirk Ocean City;0
2 Safeways show  CovidVaccine slots in MD  15411 New Hampshire Avenue  Silver Spring 9645 Belair Road  Perry Hall;0
6 Safeways show  CovidVaccine slots in MD  11201 Georgia Avenue  Wheaton 1451 S  Ritchie Hwy  Arnold 15916 Crain Hwy Se Dr  Brandywine 2401 N  Charles Street  Baltimore 2644 Chapel Lake Drive  Gambrills 990 East Swann Creek Road  Fort Washington;0
7 Safeways show  CovidVaccine slots in MD  10335 Reisterstown Road  Owings Mills 19718 Germantown Road  Germantown 2401 N  Charles Street  Baltimore 403 Redland Blvd  Rockville 80 W  Dares Beach Road  Prince Frederick 909 Thayer Ave  Silver Spring;0
5 CVS locations show  CovidVaccine slots in MD  Easton Elkton Havre De Grace Ocean City White Plains;0
3 Safeways show  CovidVaccine slots in VA  12 W  Washington Street  Middleburg 30 Pidgeon Hill  Sterling 3713 Lee Highway  Arlington;0
21 CVS locations show  CovidVaccine slots in VA  Abingdon Blacksburg Chatham Chesapeake Clarksville Danville Dublin Farmville Hampton Lynchburg Martinsville Newport News Norfolk Petersburg Portsmouth Roanoke Rocky Mount South Boston Suffolk Windsor Woodstock;0
15 CVS locations show  CovidVaccine slots in GA  Acworth Albany Atlanta Augusta Columbus Dalton Decatur East Point Gainesville Jonesboro Riverdale Sandersville Savannah Stockbridge Union City;0
If you need help registering online for your  COVIDVaccine  we have information on our website that may be useful         You can also call us on 1850241850 ;0
Remdesivir is being sold in the black market for some Rs 20 000 per injection         Covid19  MadhyaPradesh  Bhopal  CovidVaccine  CovidPositive  AntiViralDrug  Remdesivir  VaccineHeist  CaseRegistered  TopNews  Trending  TrueScoopNews;0
For real though               YQG  CoronaVirus  Covid19ON  COVID19Ontario  CovidVaccine  CovidIdiots ;0
