X;Dominik;greta;text
1;0;0;61 Safeways show  CovidVaccine slots in CA  1100 El Camino Real  Belmont 1520 Brundage Lane  Bakersfield 2555 Harris Street  Eureka 2720 41st Avenue  Soquel 475 M Street  Crescent City 570 Shoreline Blvd  Mountain View 927 S  China Lake Blvd   Ridgecrest
2;0;0;63 Safeways show  CovidVaccine slots in CA  1100 El Camino Real  Belmont 1655 El Camino Real  San Mateo 179 Branham Lane  San Jose 2555 Harris Street  Eureka 2720 41st Avenue  Soquel 475 M Street  Crescent City 570 Shoreline Blvd  Mountain View
3;0;0;90 CVS locations show  CovidVaccine slots in CA  Adelanto Angels Camp Arcadia Arroyo Grande Atwater Auburn Azusa Bakersfield Bell Brentwood Buellton Carson Chula Vista City Of Industry Clovis Coachella Compton Corona Dixon Downey El Cajon Eureka Fontana Fresno
4;0;0;23 CVS locations show  CovidVaccine slots in CA  Arroyo Grande Buellton Clovis Coachella Fresno Gridley Hanford Hemet Indio Kingsburg La Quinta Lancaster Lompoc Menifee Merced Palm Desert Porterville Red Bluff Redding Santa Maria Temecula Tulare Visalia
5;0;0;255 Rite Aids show  CovidVaccine slots in CA  Azusa Banning Beaumont Blythe Bonita Brawley Cathedral City Coachella Corona Desert Hot Springs Fallbrook Fresno Indio Los Angeles Ontario Rancho Cucamonga Roseville San Diego San Pedro Santa Rosa Temecula
6;0;0;300 Rite Aids show  CovidVaccine slots in CA  Agoura Hills Altadena Azusa Chino Chino Hills Cypress Fresno La Crescenta Long Beach Los Angeles Lynwood North Hollywood Rolling Hills Ests Roseville San Pedro Santa Rosa Temecula Thousand Oaks West Hollywood
7;0;0;33 CVS locations show  CovidVaccine slots in CA  Adelanto Arroyo Grande Atwater Bakersfield Buellton Clovis Coachella Fontana Fresno Gridley Half Moon Bay Hanford Hemet Indio Kingsburg La Quinta Lancaster Marysville Menifee Merced Montclair Mount Shasta Murrieta
8;0;0;59 Safeways show  CovidVaccine slots in CA  13045 Rosedale Hwy  Bakersfield 1520 Brundage Lane  Bakersfield 2555 Harris Street  Eureka 2720 41st Avenue  Soquel 2980 E Capitol Expwy  San Jose 475 M Street  Crescent City 927 S  China Lake Blvd   Ridgecrest
9;0;0;22 Safeways show  CovidVaccine slots in CA  1235 Stratford Ave  Dixon 13045 Rosedale Hwy  Bakersfield 1520 Brundage Lane  Bakersfield 2720 41st Avenue  Soquel 3320 Arden Way  Sacramento 37264 Main St  Burney 9831 Campo Road  Spring Valley
10;0;0;14 Safeways show  CovidVaccine slots in CA  13045 Rosedale Hwy  Bakersfield 133 West Route 66  Glendora 1520 Brundage Lane  Bakersfield 160 First Street  Los Altos 37264 Main St  Burney 43543 20th Street West  Lancaster 6045 Coffee Rd  Bakersfield
