"","text","Sentiment"
"cv414_11161.txt","the yet-to-be-released krippendorf's tribe is being marketed as a family comedy , but buyer beware . 
this movie can't make up its mind . 
is it a family comedy with vulgar references to both the male and female bodies , menstruation , circumcision , and sex that would make any parents squirm at the thought of having their child next to them ? 
or is it an adult comedy approached with such immaturity that only adolescents will appreciate the effort ? 
either way , "" unbalanced "" is the word to stamp on this hit and miss and miss and miss effort . 
the premise is catchy - widowed anthropology professor james krippendorf ( richard dreyfuss ) has spent the past two years "" getting over "" the death of his wife , neglecting key research and squandering grant money on personal living expenses . 
now it's time to show what he's achieved in those two years , and he has absolutely nothing to show for it . 
with a fabricated tale of studying a previously undiscovered tribe in new guinea , krippendorf petitions for new funds while hiding the fact that the previous $100 , 000 grant was spent on trips to mcdonald's . 
but when his "" discovery "" becomes the latest craze among colleagues , the professor finds he must do more than talk about the tribe - he must create it . 
with the aid of his three children , the headstrong teen shelly ( natasha lyonne of everyone says i love you ) , the slightly younger mickey ( gregory smith ) , and the nine-year-old edmund ( carl michael lindner ) , the "" shelmikedmu "" tribe ( named from the first half of each child's name ) is born , and videos quickly produced in krippendorf's backyard are passed off as stunning documentary footage of the newly found new guinea tribe . 
despite the professor's wishes , the buzz surrounding his discovery only grows , due in greatest part to veronica micelli ( jenna elfman ) , an overly vivacious ( and voluptuous ) anthropologist who barges her way into the discovery and basically deems herself krippendorf's main assistant . 
hungry for recognition , micelli sets up interviews , lectures , etc . in an effort to make this the biggest sociological event in history , a sure fire way to go down in the history books . 
krippendorf , on the other hand , is seeing himself go down a jail cell corridor , not in history books , and with each new lecture , he must come up with something impressive to unleash about the tribe - mating habits , domestic structure , etc . thru fumbling improvisation , and often some quick thinking from his oldest son , krippendorf makes it thru each new lecture , but only creates more and more interest in the highly unique tribe . 
on the opposing end is krippendorf's arch rival , ruth allen ( lily tomlin ) , an arrogant professor whose jealousy drives her on a mission to disprove the existance of the non-existent tribe . 
it's a cute idea , and approached with a more subtle ( and mature ) style , krippendorf's tribe could've been a real winner . 
sadly , the mostly-misfired toilet humor , overly comical musical score ( by bruce broughton ) , and sugar coated sentiments ( all the key ingredients of a "" family comedy "" ) just aren't the right tone for this film . 
cut that crap out , add some razor sharp dialogue and witty sociological perceptions and you've got a good start . 
at the state it's in now , you've got something along the lines of medicine man meets mrs . 
doubtfire meets dumb & dumber , and that's not a concoction anyone should be overly anxious to try . 
the overall product here is a highly forgettable cup of "" average "" , with a few laugh-out-loud moments and a great big gap in between them . 
most of the characters are surprisingly two-dimensional , and the only one who seems to exhibit any real acting effort ( lyonne ) seems to go greatly unappreciated . 
director todd holland has gone about making this film in all the wrong ways . 
it's stuck in limbo between disney family fare ( jungle 2 jungle ) and potentially hilarious adult comedy ( a fish called wanda ) . 
it's this unbalanced structure that really knocks it down a grade , and it's a brutal drop . 
a strong warning to parents : forget the impression given by advertisements , do you want to take your kids to a film that has a woman asking a man if he finds her attractive merely because she's holding his penis ? 
yes , it's put that bluntly ! 
just be warned - this is merely one example of the many shocking subjects to be brought up in the film , and others might not be as tame . ","neg"
"cv462_20788.txt","in double jeopardy , the stakes are high . 
think of the plot as a rehash of sleeping with the enemy , and then rearrange the details and the gender of the stalker . 
the finished product , although able to maintain the viewer's attention , is a predictable and unexciting thriller with an idiotic script . 
`alex , i'll take homicide for $400 . . . ' 
libby parsons ( ashley judd ) is a happily married mom leading a normal life . 
one night , her husband nick ( bruce greenwood ) takes her out for a romantic escape on a sailboat . 
libby awakens in the middle of the night to find she is covered in blood and nick has strangely disappeared . 
she follows a trail of bloody footprints up to the deck , where she handles a fallen knife ( like any stupid character ) and is spotted by the coast guard , who are responding to a distress signal sent earlier in the evening . 
nick is presumed dead , and although she pleads her innocence , libby is tried and convicted for the murder of her husband . 
now , please don't think i'm spoiling any vital plot details , because the informative trailer has already spilled most of the beans . 
if you haven't seen this preview , don't read any further . 
but seriously , the inane screenplay by douglas weisberg and douglas s . cook is so elementary that the average viewer will be two or three steps ahead of the characters . 
during the most vital scenes in the movie , i was anticipating every twist or `surprise' that eventually popped up on the screen . 
i imagine the writers presume their core audience for double jeopardy is a very naive group of individuals . 
most , unfortunately , will be too distracted by the moronic plot to appreciate the few positive aspects of the production . 
one is tommy lee jones , who plays travis lehman , a parole officer given the tedious task of watching over libby after she serves her sentence in prison . 
jones is always wonderful as an authority figure , and he's certainly familiar with this sort of role ( as he played so well in the fugitive and us marshals ) . 
judd , as a likable heroin with gusto , also has a chance to flex her acting abilities . 
while emotionally unconvincing , the actress is tremendously fun in her juvenile role , perking up the movie like an injection of anti-depressant . 
the actors , and their relationship together , present the one-two punch that prevents double jeopardy from derailing itself entirely . 
and now , back to the plot . 
while behind bars , libby learns an interesting little bit of information : a person can't be convicted of the same crime twice . 
this law , called `double jeopardy' , could be her motive for hunting down her husband . . . 
who may still be alive . 
yes , you heard right . 
the movie degenerates into a cross-country chase , where everything you expect to happen . . . 
does . 
the final scenes , which could have redeemed the film , are poorly handled by director bruce beresford - whose previous work centers highly around drama ( driving miss daisy , paradise road ) . 
ironically , it is those elements - like the driving force of libby to reunite with her son - that don't quite work here . 
at least double jeopardy is paced well enough to satisfy diehard fans of the two stars . 
unfortunately , jones lacks some of the edge that he had as sam gerard in the fugitive , and the real depth of his character is only skin deep . 
but he and ashley judd are more than welcome considering the material , and both have some memorable comic moments . 
judd , in particular , has a hilarious scene in which she wards off an oncoming male by explaining she has to check in with her `parole officer' . 
hmmm . . . 
perhaps this would have made a good comedy . 
it is disappointing , because there are the makings of a competent action film here . 
it's nicely shot and choreographed in downtown vancouver , and will entertain those who aren't turned off by the woeful story-line . 
 ? tis a shame that double jeopardy is an adult thriller that wouldn't fool most children . ","neg"
"cv178_14380.txt","starring ben stiller , elizabeth hurley , maria bello , janeane garofalo screenplay by david veloz , based on the novel by jerry stahl directed by david veloz 
permanent midnight is a pretty bad movie , though it took me a few days to conclude this . 
the film is more masturbatory than bleak , with its main character intent on confounding us with his stupidity . 
 ( he has a $6000 a week drug habit . ) 
ultimately , as adapted by veloz , jerry stahl comes off as one of those playground braggarts who chainsmokes at the age of twelve ; you are less mystified by his self-destructive nature than bored into a stupor yourself . 
ben stiller plays stahl , a young author who arrives in l . a . with ambition and a nasty drug habit . 
he eventually gets a gig for $5000/week writing for a sitcom called mr . chompers ( a thinly veiled stand-in for "" alf "" : chompers looks just like alf except he's blue ) , marries a producer ( hurley ) so she can get a green card , and hooks up with a spanish mother ( liz torres ) , who shoots heroin with him in the afternoons . 
insert proverbial downward spiral here . 
permanent midnight is structured mostly as a flashback , with recovering addict bello meeting stiller ( at a fastfood restaurant , where stiller works the drive-thru as part of rehab ) , taking him back to a hotel , and between bouts of serious screwing , listening to his life story . 
i've spent the last week trying to figure out why stiller never seemed to find the frighteningly gorgeous hurley attractive-worse , i've been trying to figure out why hurley did find stiller attractive . 
as stahl , stiller displays none of the charm or wit one would expect ( post-there's something about mary ) of either the actor or a comedy writer . 
what separates stahl from the hundreds of other hollywood punk-junkies , it seems , is that stahl wrote a book about his idiocy . 
watch stahl shoot heroin next to a baby ! 
watch stahl spoil numerous pitch meetings with smack-fueled babble ! 
stiller gives a technically flawless performance : the film could double as a documentary on how to be a junkie . 
but permanent midnight is mostly soulless . 
when the movie poses the question will stahl be saved ? 
and then answers it in the form of bello's character ( basically a shrink in black panties ) , could a person care less ? 
in the film version of his autobiography of the same name , stahl doesn't need saving , he needs someone who will sit there and listen to him go on about himself . 
if you learn anything about the other characters in this movie , it's that they are the most incredibly tolerant hollywood-types known to man . 
 ( stahl also seems to be the only person at schmooze parties doing drugs . 
is this hollywood . . . california ? ) 
i learned very little about the entertainment business from permanent midnight and a whole lot about an egotistical lunkhead . 
of course you know that stahl triumphed because he lived to talk about his problems . 
so , basically , his drug habit got him a book deal , a movie based on his life , and now he's apparently collaborating with stiller on future projects . 
so much for the moral of that story . 
temporary midnight is more like it . 
-bill chambers ; september , 1998 ","neg"
"cv525_17930.txt","one of the indicator of badness in film is the hype being remembered more than film itself . 
such was the case with boxing helena , 1993 directorial debut of jennifer chambers lynch , daughter of the great david lynch . 
made in the dying years of post-twin peaks lynch craze among movie snobs , it was hyped as another , "" warped , twisted masterpiece "" of lynch clan . 
kim basinger also provided extra publicity by quitting the lead role and being sued for the breech of contract . 
but , the result was extremely disappointing film , which quickly sank into well-deserved oblivion . 
the movie protagonist is nick cavanaugh ( played by julian sands ) , talented surgeon who is getting obsessed by helena ( sherilyn fenn ) , beautiful woman who ditched him after brief affair . 
cavanaugh stalks her and uses every opportunity for the pathetic attempts to re-establish the relationship . 
during one of such occasions , helena is hit by a car , and nick quickly takes the role of her personal physician in order to have his way with her . 
after she wakes up , helena discovers not only that she is prisoner in cavanaugh's stylish residence , but also that cavanaugh amputated her legs in order to prevent her from escaping . 
she is still trying to escape , so cavanaugh takes off her arms . 
apart from casting sherilyn fenn ( audrey horne in twin peaks and small cameo in wild at heart ) and the use of twisted characters and their perverse fantasies , this film by ms . lynch hasn't got anything in common with the works of director's more talented father . 
despite rather bizarre subject , the style of this film is conventional and setting is light , characters are beautiful - but the result at the end is quite sterile and the film in the end looks too artificial for dark sexual fantasy it was supposed to portray . 
jennifer lynch obviously lacks talents in directing and it becomes painfully obvious in the scenes that are supposed to erotic - its banal artificiality is even bellow the standards of playboy videos . 
the actors aren't good either . 
julian sands is terribly miscast as emotionally disturbed man - this actors is best either when he plays charismatic protagonists or villains ; being neurotic doesn't suit him . 
bill paxton was better for this role , but his presence was wasted in forgettable and unnecessary subplot dealing with helena's boyfriend . 
sherilyn fenn contributed to this film mostly by her looks , but even the her greater effort in acting couldn't help this film . 
the screenplay , on the other hand , is awful , at least for someone who had made best-seller with laura palmer's diary - the events in this movie are implausible , characters come and go without purpose and many unnecessary subplots only slow down the film and add to the total confusion . 
one of those subplots involves character of cavanaugh's "" regular "" girlfriend , played by betsy clarke . 
the twist at the end , although unpredictable , is unbelievable and the viewers , who had the stomach to endure entire film , would feel cheated . 
all in all , boxing helena is disorganised quasi-artistic mess of a movie that should be remembered as nothing more than one of the wiser decisions in kim basinger's career . ","neg"
"cv194_12855.txt","this is the last carry on film with its almost intact regular cast and it is the swansong of hattie jacques and sid james . 
dick turpin ( sid james ) and his gang which includes harriett/harry ( barbara windsor ) and tom "" doc "" scholl ( peter butterworth ) , terrorise the countryside by staging highway robberies : "" stand and deliver ! "" 
owing to the increased occurrence of turpin's robberies , captain desmond fancey of the bow street runners ( kenneth williams ) and his sidekick sergeant jock strapp ( jack douglas ) visit turpin's area of influence to bring him to justice . 
they are under the express orders of sir roger daley ( bernard bresslaw ) . 
their intellect does not count for much and when they increasingly become suspicious of reverend flasher aka dick turpin ( sid james ) , whom they confided in earlier , they still cannot believe that the rector has any part in these robberies . 
however , once they catch harriett and put her in jail , and sir roger daley takes complete charge , it seems that there is no hope for dick turpin . 
then again , sir roger has assigned the dimwits fancey and jock strapp aswell as the old dithering constable ( kenneth connor ) to keep an eye on their prisoner ! 
there is no doubt that this is a 'sid james' carry on movie . 
he excels in double roles ( as in 'carry on- don't lose your head' ) and his performance as flasher and turpin is hilarious . 
barbara windsor is also funny as harriett the sex mad housemaid and member of the gang , and hattie jacques' small but effective role as the rector's housekeeper martha hoggett is played to perfection . 
jack douglas plays a milder version of his excruciatingly annoying on-screen persona and kenneth williams is given a rather mundane part . 
peter butterworth is not allowed to shine in his boring performance as tom , and bernard bresslaw's character appears only briefly in the film . 
the only notable performance from the support cast comes from joan sims as madame desiree , who is travelling around the country escorting her starlets the 'birds of paradise' and sporting a fake french accent . 
when her girls and her are robbed by turpin , she is determined to catch him and helps the reverend to find the culprit ! 
a carry on by the numbers , this movie is only notable for the great performance by sid james in his last carry on movie . 
the jokes are bluer , the script is poorer ( it is the last script written by talbot rothwell ) , but the music is a marked improvement . 
although nearly all the regulars appear , they seem to be just going through the motions . 
none of the high spirits of the earlier films are apparent here . 
just a selection of crude jokes and repititive double-entendres . ","neg"
"cv937_9816.txt","take a look at the following equation . . . . 
a christmas carol+ghostbusters=scrooged 
yes , scrooged is the odd mixture of sentiment , comedy and horror you would get if you mixed those two elements toghether . 
scrooged is alternatively sick , gross , funny , and then sickly soppy . 
bill murray plays frank cross , a t . v executive with a horrible personality . 
he's evil to secretary , actors , crew , everyone , except the t . v's station's boss , of course ( played by the late robert mitchum ) however , he is then visited by a very dead exec , who warns cross that he will be visited by three ghosts , past , present and future ( who is called the ghost of yet to come , for some reason ) sure enough , they arrive , show cross how much of a s . o . b he is , and he changes his way . 
however , throughout this simple plot , we've got to suffer outlandish special effects , poor comedy , and an very , very mean performance from bill murray . 
frank cross isn't 'funny' mean , he's just mean . 
he also isn't very good at emotional scenes , and totally destroys the last ten minutes of the film , with an utterly desperate speech saying how great christmas is , and how he has changed . 
however , the supporting cast are ok , with good performances from mitchum , allen ( who plays his girlfriend ) and john glover ( who plays cross's 'partner' ) the ghost of christmas past isn't that bad either . 
sadly , though , the audience has to suffer 25 minutes of 'home alone' style violence from the ghost of christmas present , played by carol kane . 
whoever thought smacking that kane smacking murray in the head with a toaster was funny , should be fired straight away . 
and the audience also has to suffer bobcat goldthwait ( the guy with the annoying voice in police academy 3 , if i remeber correctly . . . . ) 
who , thankfully , dosen't say much . 
the script is horrendous . 
michael o'donaghue churns out terrible , bad taste jokes ( which i guess is the whole point really ) then changes direction completely to emotional scenes . 
and he must of been on some drug when he wrote the final ten minutes , which are awful . 
the special effects look nice , but do nothing for the film . 
there's some impressive make up effects also . 
the music is also good , which is scored by danny elfman . 
but great effects and make up don't make a great film . 
scrooged is an appaling attempt to inject some christmas spirit into the audience , seeing as the first 1 hour 20 minutes of the film are so depressing anyway , and the last ten minutes had to make up for it with an godawful speech . 
why didn't cross just look out his exec window , and ask a young boy to buy a goose for him ? 
overall , then , you'd have a much better christmas if you avoid this film like something that should be avoided ( perhaps a plague ) ","neg"
"cv841_3967.txt","let's face it : since waterworld floated by , the summer movie season has grown * very * stale . 
with no new eye-candy for four weeks straight , we've had to sustain ourselves on the quasi-nutritional value of cheatin' husbands , traveling chocolate salesmen , and computer- generated serial killers . 
sigh . 
thank god for desperado . 
the freewheeling sequel to el mariachi - director robert rodriguez's notorious $7000 debut - stars a cool antonio banderas as the returning guitarist with no name . 
he's a man in black with revenge on his mind , and an arsenal in his case . 
 ( the woman he loved was killed in the first film . ) 
so , he spends the entire story shooting drug dealers ; sort of a tex-mex version of the punisher , if you will . 
there isn't much of an emotional core to desperado . 
rodriguez is having too much fun finding new and innovative ways to pay homage to john woo . 
 ( and sergio leone . . . 
and sam peckinpah . . . ) 
some may wince at the body count - at least 100 graphic killings is a fair estimate - but it's all played for laughs . 
big , broad , hispanic laughs that , for me , recall the physical comedy of blake edwards and his pink panther films . 
sick , slick fun . ","pos"
"cv141_15686.txt"," "" very bad things , "" is the most delightfully morbid film of the year , a movie that goes so far over the deep end with its outrageousness and violence that i couldn't help but be won over by the material . 
the film starts off with five friends leaving their homes in los angeles for a bachelor party in las vegas . 
the groom-to-be is kyle fisher ( jon favreau ) , who is about to be married to the controlling , wedding-obsessed laura ( cameron diaz ) . 
the other friends are real estate agent robert boyd ( christian slater ) , quiet charles ( leland orser ) , and brothers , michael ( jeremy piven ) and family man adam ( daniel stern ) . 
after a wild night of gambling , boozing , and drugs , a stripper ( carla scott ) who was paid for by robert comes into their hotel room , but after a freak accident , to everyone's terror , she is killed . 
as robert puts it : "" there are two options : go to the police and go to prison , or bury her out in the desert where no one will ever find her . "" 
after a security guard enters into the hotel room unexpectantly and sees the body , robert is forced to kill him as well . 
 "" okay , there is only one option now . 
you can forget about calling the police , "" he says . 
by the time the five friends return home and as the wedding draws nearer , most of them are overcome with guilt , which sets off an even more elaborate series of event , that includes much , much more murder , double-crosses , and the inevitable wedding from hell . 
 "" very bad things , "" which is actor peter berg's feature film directing debut , is the shockingly perverse and wicked comedy that , "" there's something about mary , "" wanted to be . 
it pulls out all the stops to create something fresh , original , and hilarious , even if that requires surprisingly graphic violence , gore , and a slew of truly hateful characters that all get what they deserve by the end . 
the screenplay , also written by berg , is , to put it mildly , very funny and courageous . 
during the second act of the film , some of the fun was beginning to slightly dwindle due to so much death , which was beginning to undermine the humor , but it eventually recouped itself with a climax that has to be seen to be believed . 
the dialogue is edgy and inventive , and this film proves that a movie doesn't necessarily require likable character to be extremely enjoyable . 
there's more fun , i think , in showing ignorable people getting their just desserts . 
cameron diaz gives her best performance to date here , and has a lot of fun in playing the hateful laura , who eventually turns out to be more crazy than any of the five male friends . 
diaz puts so much overblown energy to her character that i really do think she deserves a supporting actress oscar nomination come next january . 
by the time she is beating someone to death with a coat hanger , and reciting lines like , "" stuff him in the crapper and get your ass upstairs , "" i couldn't help but crack up at how "" balls-to-the-wall "" this film had become . 
jeanne tripplehorn creates another character original , as daniel stern's wife , who late in the picture , we discover , is a tough kick-boxer that should not be messed around with . 
it is at this level that , "" very bad things , "" was so entertaining and surprising . 
just when you thought you could predict what was going to happen , there would be a little twist involving the characters that would be absolutely wacky . 
the last sequence was perfect and managed to go even further over-the-top . 
although i enjoyed the film immensely , let me make this clear : "" very bad things , "" is not a movie for everyone . 
it is more tasteless than anything i have ever seen , it is more violent and bloody than a r-rated film usually is , and it is offensive . 
luckily , these are elements that i would prefer in a comedy , since it clearly shows the filmmakers were set on making a no-holds-barred , politically incorrect comedy . 
the fact that this film slipped through the cracks of the usually mainstream and "" safe "" wide-releases coming out lately , still gives me hope for the hollywood film industry . ","pos"
"cv322_20318.txt","now , lets first look into the history of shark films . 
there was the unforgettable jaws . 
the exciting jaws 2 . the rather flaky jaws 3d and sometime in the late 90s another film of the same genre that i can't seem to recall ( about the son of jaws returning to wreak revenge or something like that ) . 
now , with the magic of cgi , one shark is simply not enough ; in deep blue sea , there are 3 big , mean and really smart ones ! 
russell frankiln ( jackson ) visits aquatica ( a sea-bound research center ) , where a research is being conducted on the extraction of a hormone substance found uniquely within the shark brain that can cure and reverse the effects of alzheimer's disease . 
the substance is small in quantity and because of this , lead researcher dr . susan macalaester genetically alters the shark dna and grows them twice the size with brains as big as humans , naturally producing more of the much treasured hormones . 
as sure as the sun sets in the west , a shark breaks lose and wreaks havoc within the facility during a hormone extraction procedure . 
with the flexibility offered by cgi , the sharks get more full-length screen time as their predecessors did in those remote-controlled rubber suit days . 
gone are the days of people getting pulled under the water with the water turning red right after . 
this time , we get to see the entire gobbling action , with floating limbs and all . 
so-so acting , expected in most of your average action film . 
jackson ( fresh from his jedi master role in the phantom menace ) , takes on the dark-side force of a different kind and fits well with his wise-cracking lines . 
ll cool j's cook role as preacher , does for this film what steven seagal's cook could only dream to achieve in his two under siege films . 
deep blue sea does not offer any of the psychological thrills that jaws has to offer . 
it does however , prove to be a refreshing follow-up within the genre , full of visual thrills , suspense and believe it or not  humour ! 
its like jurassic park under water . 
nothing too stressful , pure entertainment . 
renny harlin , you are forgiven ( for making cutthroat island ) . ","pos"
"cv252_23779.txt","no humans were harmed , tested or tasted in the making of this film . 
all recipes are fictions . 
twentieth century fox does not condone cannibalism . 
a psychological thriller that will scare you to the depth of your soul ! 
director/writer antonia bird shows us that the most terrifying horror is not provided by giant beasts , but instead by monsters lurking in ourselves . . 
 "" . . they were a party of settlers in covered wagon times and they had to resent to cannibalism in order to stay alive . . "" 
this true story , briefly mentioned in "" the shining "" , has no turned into a 143 minutes long motion picture . 
in 1847 , the united states was a land of pioneers , of gold-starved americans making their way west . 
it was a period of manifest destiny , the inevitability of the country extending its boundaries , stretching out its arms and consuming all the land it could . 
capt . john boyd ( guy pearce ) has become both a "" hero "" and a victim during this period of relentless consumption . . . 
in ways he could never have imagined . 
boyd's journey to hell begins when he is awarded for an act of cowardice during a horrific mexican-american war battle earns him banishment to a desolate military outpost , a waystation for western travelers in the barren and icy sierra nevada mountains in california . 
upon his arrival he is greeted by a small , motley group of soldiers , including his commanding officer , hart ( jeffrey jones ) , a previously intelligent and sophisticated man who has lost his aristocratic origin in the heat of battle and has pretty much given up on life ; toffler ( jeremy davies ) , the fort's personal emissary to the lord ; knox ( stephen spinella ) , the veterinarian that plays doctor , who never met a bottle of whiskey he didn't like ; reich ( neal mcdonough ) , the no-nonsense soldier of the group ; and the seriously "" over-medicated "" cleaves ( david arquette ) , a cook whose meals are inspired more by peyote than culinary ambitions . 
into this cold , bleak and bizarre world staggers a stranger , colqhoun ( robert carlyle ) , a half-starved scot who had been traveling with a group of settlers until they became snowbound . 
seeking refuge in a cave , they soon ran out of food - and were forced to consume one another . 
colqhoun barely escaped becoming an hors d'oeuvre himself . 
our heroes then decide to journey through the mountains to find the survivors , and colqhoun tags along to help out . 
soon it becomes clear that colqhoun's tale has ramifications beyond cannibalism and the will to survive . 
it involves an old indian myth called weendigo , which states that a man who eats the flesh of another steals that person's strength , spirit and very essence . 
his hunger becomes an insatiable craving : the more he eats , the more he wants , and the stronger he becomes . 
there can never be enough , and death is the only escape . . 
it's all fairly sickening and you have to have a healthy stomach to see the whole movie through . 
as professionally made as the movie is , you have to wonder who they thought would come piling into the theater to see this . 
teen-age horror fans won't care because none of the soldiers look remotely like neve campell . 
older folks might show up when they hear that the movie is actually a satire about the pioneer spirit , but they'll be disappointed once all the raw meat starts getting waved in their faces . 
but jokes aside , this is a film that is well worth watching . 
it has wonderful and mature characters , that few horror film s can boast of and a strangely effective story that continues to electrify you till the end . 
the two main characters are also the most interesting . 
boyd is a simple , honest man tiered of war , killing and fear . 
his sacred wish is to live a normal , quite life away from gunpowder and blood . 
colqhoun is different . 
he proves that a man , on the brink of death , would do anything to stay alive , including sacrificing his own soul . 
he believes so much in this indian myth that he starts to change physically . 
it is the power of the human mind and conviction that make miracles happen . 
the atmosphere in "" ravenous "" is macabre and bizarre , scary and surreal . 
completely isolated from the rest of the world , stands fort spencer . 
here time stands still , and nothing changes . 
the inhabitants are soldiers driven by war and pillage . 
they are all somehow losers of society that have been banished  -  men that are used to killing and have not done anything else in their entire life . 
men that are nothing , and has nothing to loose . 
the result is some sort of cabin fever . 
cannibalism is more like a sick game for them . 
since they find no pleasure in living , they find some excitement in killing and dying . 
it's like "" who's going to die first ? "" 
the unchangeable icy landscape , where birds do not sing and even wind doesn't move the leaves on the trees , resembles kubrick's "" the shining "" . 
it's hard to not get mad here ! 
one of the scary aspects of the film is a strange connection that the viewer establishes with the characters , and starts to understand them , although they have turned into half crazed killers . 
music is another factor that strengthens the atmosphere . 
a strange musical score , composed by michael nyman ( the piano ) and damon albarn , that often seems out of place , and in complete contrast to the image , somehow reflects the characters' twisted reactions on the world and their situation . 
the director herself stated that it was "" ok to laugh "" during the picture . 
and i must admit that it is often very funny , in a strange way ( such as the wonderful quote : "" . . it's 
lonely being a cannibal . 
you don't get that many friends . . . "" 
or when colqhoun is quoting ben franklin , saying "" eat to live . 
don't live to eat . "" ) . but 
mostly it is frightening and shocking as it goes deeper into the minds of these strange men and we witness their psychological change . 
every actor does a great job . 
especially robert carlyle as the sinister and intelligent cannibal , and guy pearce as the moral and honest soldier , nagged by his undeserved honor . 
this strange couple resemble lestat and lois in neil jordan's 'interview with the vampire' . 
actually there are many amusing parallels and connections to vampire movies , since the topics are so alike . 
 "" ravenous "" starts wonderfully and continues to shock and scare until it gets to the finale , where it looses focus and gets too primitive and rather boring . 
however these little failures don't diminish the impression . 
this is a bizarre dark comedy about the human mind and its change in different situations . 
it is a scary fable about the monster that lurks in everyone's soul , a dark side which we're all trying to hide  -  but it's there  -  always . 
it is one of the most frightening and successful horror films since "" the shining "" . 
 "" . . i said no food . 
i didn't say there was nothing to eat . . . "" 
- colqhoun , ravenous ","pos"
