"","id","screen_name","text","polite","Sentiment"
"1",471248820853301248,"DavidCoburnUKip","@benjamincohen @RichardHilton1 On other hands if Faith is reformed such as Quakers I do NOT oppose Gay Marriage","polite","neutral"
"2",471254208424189952,"Nospin_43","@DavidCoburnUKip @Vote_UKIP do english servicemen/wm stationed in Scotland get one.?   agree scots in forces have not ""emmigrated"" to Eng","polite","neutral"
"3",471254499806281728,"WillDuckworthGP","With the slogan 'Love for All, Hatred for None' A lovely group.  Ahmadi Muslim Murdered in Pakistan - Action Needed: http://t.co/Ofc8vgiivV","polite","positive"
"4",471254676902789120,"Andrew_Duff_MEP",".@adriaanschout With a double mandate, which one gets neglected first? (Btw, I'm staying in Brussels) #euwhatevernext","polite","neutral"
"5",471256881378643968,"beachthistle","@Clarkson77 @DavidCoburnUKip @wild_indigo Oops!  http://t.co/SzxUGL2byG","polite","neutral"
"6",471261267676897280,"GawainTowler","@craigmelson not funny...","polite","negative"
"7",471261491686305792,"edwardhayes_1","@MEPStandingUp4U the people believe in you","polite","positive"
"8",471271874463543296,"camsquirrel",".@StanCollymore I'll put a weighty Griffin on my sleigh as I inveigh against fascists...     @YsabelleStewart @nickgriffinmep","polite","neutral"
"9",471273028568231936,"GoodallGiles","@pswidlicki @GrillingKippers Couldn't be worse now could it?","polite","negative"
"10",471282755754799104,"tangowhisky26","@Tim_Aker @UKIP @Nigel_Farage @Ed_Miliband Why are UKIP so obsessed with what other people have done / are doing?","polite","negative"
"11",471282907043364864,"BobbinsonCrusoe","@tangowhisky26 @Tim_Aker @UKIP @Nigel_Farage @Ed_Miliband Erm, because it's politics?!","polite","neutral"
"12",471287335196577792,"ThomasEvansUKIP","@Clayead @CulliganPA Been working my bottom off the last 4-6 weeks for UKIP &amp; this feels a little bit unfair. Would be nice to know anyway.","polite","neutral"
"13",471312639273222144,"NeroBealFeirste","@toldom67 @DianeDoddsMEP sure Ruth Patterson reckoned she topped the poll too #Awkward http://t.co/9FmR9voZMj","polite","neutral"
"14",471318868611575808,"NickiBrooksx","Today has picked up considerably! http://t.co/bEfB2E4tuD","polite","positive"
"15",471321729428889600,"SacredJP","@bbchw What tiny comment has this guy made then? Bet it's a mountain out of a molehill #ukip @Nigel_Farage","polite","neutral"
"16",471321801906487296,"ExtraBold","@s8mb Me too - there are two of them?","polite","neutral"
"17",471323319850246144,"cchakai","@StefanVersac @MLP_officiel @Nigel_Farage mais les franc¸ais ne comprennent malheureusement ce qu'est un y E´tat fe´de´ral","polite","neutral"
"18",471325032288108544,"Godsent072011","Hallo Mr.@Nigel_Farage I'm an Italian 5star movement voter,do u think could be possible alliance between #UKIP and #M5S ?thanks 4 y answer","polite","neutral"
"19",471328869036064768,"Lrhewat","@IainMcGill *shakes head*","polite","neutral"
"20",471331542720331776,"kevcow","@haazbeats it's full of art stuff","polite","neutral"
"21",471337910831038464,"CountRollo","@DanHannanMEP Free movement Daniel? NO NO NO. Controlled immigration for sponsored and/or required, skilled people. -otherwise NO!","polite","negative"
"22",471344070556934144,"TheMockneyRebel","@Tim_Aker @GuidoFawkes I attended and I can assure you I was not handpicked @ElzbietaVine","polite","neutral"
"23",471344935200096256,"DuncanBirss","@nickgriffinmep what job?","polite","neutral"
"24",471346065149816832,"Jadevictoria","@George7Frasier @Tim_Aker honestly there is alot of stuff out there. I think  if these rumours was addressed people would feel a bit easier.","polite","neutral"
"25",471346162470244352,"UK_Resistance","@le2782 @ingelund @NathanGillMEP @camshrone Didn't think anyone was blaming troops, I certainly wasn't? If troops are at fault, we all are","polite","neutral"
"26",471348541395587072,"ShneurOdzeUKIP","@xzander1982 Your point?","polite","neutral"
"27",471349489815793664,"john63fields","@MEPStandingUp4U .Now you can shout  about it! Congrats. Remember hold your head high, you're as good as the rest and we're proud of you!","polite","positive"
"28",471350734567772160,"GinaDowding","“@HuddsGreenpeace: Revealed - the #fossilfuel lobbies behind attacks on #renewables - News - The Ecologist http://t.co/dhVXjtWn95 #climate”","polite","neutral"
"29",471356012365381632,"pippabartolotti","@ChristopherWere UKIP comes only fourth among women under 40, some way behind Labour, and narrowly behind the Greens.http://t.co/fAQ1BfCbLh","polite","neutral"
"30",471359525535371264,"READY2MIX","@grahamwatsonmep @ukip as a tax payer I paid your wages in that useless undemocratic non mandated parliament, hope the rest loose there jobs","polite","negative"
"31",471363271174656000,"CllrRMallender","@JimBobbers cheesy peas!","polite","neutral"
"32",471368685446524928,"JoHayesLibDem","@ThomasPride @GeorgeMonbiot Lib Dems aren't in meltdown. UKIP fomented fear of immigration, got out their vote on 22 May but low turnout","polite","neutral"
"33",471370643246944256,"jasonkitcat","@iblack10 @Ross_Greer sadly they do. They said they couldn't imagine circumstances in which they wouldn't continue.","polite","negative"
"34",471380651808419840,"jasonkitcat","@pdbrewer @curiousc @ValpearceBHCC @HansardSociety Maybe at some point tech will make it possible - but not currently.","polite","neutral"
"35",471382167852175360,"BigJohnTheRed","@imonckton @WhiteGeNOcideHC @Dubdanu @nickgriffinmep @StanCollymore can one of you people give some credible evidence of WG please","polite","neutral"
"36",471383243254939648,"Arthurk41598725","@imonckton @WhiteGeNOcideHC @Dubdanu @nickgriffinmep @StanCollymore Racist like the occupation of Palestine by Israel you mean?","polite","neutral"
"37",471389158267973632,"DavidPattie","@DavidCoburnUKip ... If they're Scottish, they have a vote. Already.   Any other questions, don't hesitate to ask.","polite","neutral"
"38",471394048813445120,"DerekJHilling","Don't worry Clegg...at least you have Tony Blair on your side????? http://t.co/Ff0qxkoBKe","polite","neutral"
"39",471399906310356992,"violetavajda","@ChazGay @wordpressdotcom yes I know, it's seriously uplifting and has taught me lots about 'active c'ship'. Sorry i not in Lon this w/end!","polite","neutral"
"40",471403693058048000,"thejuppster","What is @Nigel_Farage's issue with Europe anyway? The Final Countdown is an absolute tune!!","polite","neutral"
"41",471409319934558208,"DerekJHilling","Liberal Democrats - ""wipe out"" in the 2015 General Election. http://t.co/zDniOrHDdT","polite","neutral"
"42",471410608525410304,"Bobbymuzz1","@Nigel_Farage  GO NIGE GO  NEWARK IS YOURS !","polite","positive"
"43",471413427374546944,"mortfest","@JimAllister classy new councillor from your Party, Jim. http://t.co/uXD6pj2vkc","polite","neutral"
"44",471413948504219648,"rebecca_filerrr","@ShneurOdzeUKIP I find it deeply saddening that you a Jew will associate yourself with a party that has a deep hatred of the 'outsider'","polite","negative"
"45",471416215332585472,"loveaduck82","@StanCollymore @OldUnclePunch @nickgriffinmep the falklands may be forever, thank goodness the BNP are not.","polite","negative"
"46",471426804767412224,"DavidCoburnUKip","@Fifthcolumnblue @thepoettrap No as Gay Marriage and Civil Partnership have no material difference - None whatsoever","polite","neutral"
"47",471439219471433728,"jack_mclean","@davenellist cheeky 280odd here! #everylittlehelps","polite","neutral"
"48",471444239742930944,"BUEU2014","From our political debate w/ South West 2014 EU candidates.  (Including @PooleGreen @ClareMMoody @Ashleyfoxmep) http://t.co/Mp2zdgsTLg","polite","neutral"
"49",471453996100907008,"donniedoodalan","@Nigel_Farage this the photo you wanted out of circulation? Oops http://t.co/WGdP43EdvC","polite","negative"
"50",471468754338340864,"Cari_Aldama","@emcmillanscott @Your_Languages This must stop inmediately!!! People cannot suffer like this! It's not human","polite","negative"
"51",471504159473418240,"Molly4Europe","@81beesfan @bbcmartynoates @JennyKumah I am still on Cloud 9 so far too chuffed to take offence!","polite","neutral"
"52",471545676716048384,"danielrhamilton","@JuliainBXL Every politico has their ""base"". Schulz has the unions, Verhofstadt the dewey-eyes idealists, Juncker the 14 y/os in lederhosen!","polite","negative"
"53",471550751173783552,"GoodallGiles","@danielrhamilton The good thing about timing this time round is plenty of ex-PMs or soon to be's. Tusk lacks English though","polite","neutral"
"54",471550793171341312,"GoodallGiles","@danielrhamilton It's an experiment. Let's see how it pans out","polite","neutral"
"55",471552664653017088,"IainMcGill","@ScottishPol @BBCGaryR in public. We know he identifies them in private.","polite","neutral"
"56",471555877603139584,"IainMcGill","@paullarkin74 judged on their own target of 3 seats - the 3rd a straight choice between them &amp; UKIP? Clearly a resounding victory","polite","neutral"
"57",471556624042434560,"NickiBrooksx","Gymmed now a morning at home for laundry, cleaning and cooking. #domesticnicki","polite","neutral"
"58",471556988984655872,"mummygirl","@RogerHelmerMEP That's the way to do it Roger, a picture paints a thousand words!","polite","positive"
"59",471560574590279680,"IainMcGill","@HelenMilburn @SimonPia1 @alexmassie @chrisdeerin no, he gave it away... http://t.co/hN8hDv4ARn","polite","negative"
"60",471564957843484672,"Angeliki4eu","Bank of England governor: capitalism doomed if ethics vanish http://t.co/ruRBjdrTEL","polite","neutral"
"61",471571108932886528,"FUNMUSICUK","@BelindaBG @bbclaurak @cameron drags feet over #taintedblood disaster as victims die one a day! #penroseenquiry soon!","polite","negative"
"62",471576439792615424,"IainMcGill","@gordonchree @nataliemcgarry @WomenForIndy and surely patriotic Scots are watching the football tonight?!?","polite","neutral"
"63",471577371913777152,"IainMcGill","@edinburghpaper I remember the good old days when you journalists would buy a thirsty man a drink...","polite","neutral"
"64",471580004514824192,"Spetmologer","@louisebaldock @eurolabour @jude_kd @julie4nw @paulbrannenne if Yarm does go 2 Nth Yorkshire, Wharton sinks into the Tees ! #BadDay4Labour !","polite","negative"
"65",471581227909414912,"Otto_English","@BobBobbins1 @LeaningLeft46 @RogerHelmerMEP I've got a thing for Cameron Diaz. It's irrational I know but it's there.","polite","neutral"
"66",471591505149190144,"ILGAEurope","@GreenKeithMEP Congrats for becoming 1 of 185 MEPs to #comeoutEP2014! We look forward working w/ you for #humanrights &amp; #LGBTI equality!","polite","positive"
"67",471597215912587264,"sionsimon","&amp; this afternoon I'm going just over the West Midlands border to Hay on Wye, where this evening I will pay homage to the great Toni Morrison","polite","neutral"
"68",471602922242195456,"MerrickBadger","@LonGreenParty @Anothergreen @natalieben denial of overwhelming evidence for a theory without credible alternatives isn't 'skepticism'","polite","neutral"
"69",471607823726821376,"ftweekend","Here's another chance to read our @FTmag profile of @Nigel_Farage from last year http://t.co/UiWheIlxON","polite","neutral"
"70",471611332790599680,"Johnedwarddiver","@SocialistHealth @NNAlliance @maryhoneyball @Lucy4MEP @sionsimon @C_Stihler_MEP  It's a disaster for smokers health.","polite","neutral"
"71",471614953393500160,"IainMcGill","@loonyalba @AlanMeikle count me in if I may, I'll be on my own &amp; I'm a skinny wee guy. I'll only bother Alan &amp; his friends...","polite","neutral"
"72",471616459891040256,"IainMcGill","@SRDorman @eddietruman you've got me, I'm convinced. Why not make it 10mph? That's even safer. I'm off to start the campaign. Better for all","polite","positive"
"73",471617574216933376,"booogyboy","@RobertJenrick @George_Osborne how many to foreign workers ? #newarkbyelection do tell. @RogerHelmerMEP","polite","neutral"
"74",471622011270463488,"DavidCoburnUKip","@Fifthcolumnblue I am opposed to Clause 28 and support Gay Pride marches even though my critics claim I do not","polite","neutral"
"75",471626502057234432,"la_crip","@calyxxx @DavidCoburnUKip and to legalise guns.","polite","neutral"
"76",471629729821626368,"michaelgreen01","@SteveLBP Oh, don't worry about that, this time next year we'll have an MP in St Albans! (thanks re bio)","polite","neutral"
"77",471633581354516480,"Frankiejambo","@EuanMc @IainMcGill That's why you never get elected, cars before lives!","polite","neutral"
"78",471644333155057664,"WhiteWednesday","@DanHannanMEP But they had rejected much of the Whig-liberal tradition.","polite","neutral"
"79",471648523457662976,"green_ballerina",".@TheGreenParty finaly on @Channel4News as @SkaKeller debates the positives of the #EuropeanParliament http://t.co/Ot8Vt7iK3T #mediablackout","polite","neutral"
"80",471654980538355712,"Luv_Marmite","@GerardBattenMEP quite right AND he helps #UKIP every time he opens his mouth trying to mislead the electorate","polite","negative"
"81",471658434988097536,"ATangledTwat1","@calyxxx if want #racist #homophobic #xenophobic #islamaphobic look no futher #monsterravinglooneyparty @RogerHelmerMEP @UKIP @Nigel_Farage","polite","negative"
"82",471665438343319552,"gwalkden","@spintzuk Hi Susan! Welcome to Twitter!","polite","positive"
"83",471669514191790080,"WillLawrence_","@nickgriffinmep gr8 b8 m8 8/8","polite","positive"
